mag_id	species	superkingdom	phylum	class	data_type	source	access	note
3300008746_14	3300008746_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029034_7	3300029034_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020478_30	3300020478_30	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014565_4	3300014565_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017963_38	3300017963_38	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008096_22	3300008096_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020186_23	3300020186_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029384_18	3300029384_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029782_20	3300029782_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026965_6	3300026965_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012880_18	3300012880_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029066_3	3300029066_3	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014786_12	3300014786_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029795_23	3300029795_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029219_22	3300029219_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300024046_10	3300024046_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011002_20	3300011002_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025061_3	3300025061_3	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007531_21	3300007531_21	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011853_1	3300011853_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027828_28	3300027828_28	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011636_2	3300011636_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029540_20	3300029540_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029421_21	3300029421_21	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029610_25	3300029610_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025686_56	3300025686_56	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011479_2	3300011479_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026516_42	3300026516_42	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029390_15	3300029390_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025575_9	3300025575_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300023187_9	3300023187_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029190_10	3300029190_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029780_8	3300029780_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029405_14	3300029405_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029647_11	3300029647_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025909_42	3300025909_42	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026874_5	3300026874_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029338_23	3300029338_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014048_5	3300014048_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025125_1	3300025125_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010396_55	3300010396_55	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027719_23	3300027719_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029336_20	3300029336_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300024218_10	3300024218_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014964_14	3300014964_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300024929_5	3300024929_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012813_8	3300012813_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029710_15	3300029710_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300013728_2	3300013728_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020328_2	3300020328_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027339_7	3300027339_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027673_27	3300027673_27	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300019124_9	3300019124_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029404_10	3300029404_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300009566_20	3300009566_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010270_8	3300010270_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008712_16	3300008712_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025602_32	3300025602_32	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029870_10	3300029870_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300006256_25	3300006256_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029485_11	3300029485_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028323_1	3300028323_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029815_27	3300029815_27	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
Coccidioides	Coccidioides	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
3300029338_20	3300029338_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029779_15	3300029779_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026303_11	3300026303_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008676_13	3300008676_13	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029579_34	3300029579_34	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011472_4	3300011472_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300006045_78	3300006045_78	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026280_13	3300026280_13	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025362_1	3300025362_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011650_1	3300011650_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010268_13	3300010268_13	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029692_19	3300029692_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017788_96	3300017788_96	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020025_2	3300020025_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027509_24	3300027509_24	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010276_10	3300010276_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012973_28	3300012973_28	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029614_14	3300029614_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300022470_29	3300022470_29	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300006322_8	3300006322_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025082_6	3300025082_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007356_4	3300007356_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025161_34	3300025161_34	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300021843_40	3300021843_40	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025575_29	3300025575_29	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017518_10	3300017518_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029690_17	3300029690_17	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027770_41	3300027770_41	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029376_14	3300029376_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029858_12	3300029858_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008640_15	3300008640_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300009083_74	3300009083_74	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029739_25	3300029739_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028627_15	3300028627_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027951_9	3300027951_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029483_31	3300029483_31	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029772_11	3300029772_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029851_11	3300029851_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025571_29	3300025571_29	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029367_6	3300029367_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017940_17	3300017940_17	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029715_36	3300029715_36	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025422_10	3300025422_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
2061766007_92	2061766007_92	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029539_25	3300029539_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029823_8	3300029823_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010273_35	3300010273_35	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029420_23	3300029420_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008626_12	3300008626_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008481_19	3300008481_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028633_7	3300028633_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027828_45	3300027828_45	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300000942_1	3300000942_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026255_9	3300026255_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029713_19	3300029713_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029206_16	3300029206_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029718_45	3300029718_45	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011572_2	3300011572_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029562_23	3300029562_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008512_11	3300008512_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026194_17	3300026194_17	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008418_19	3300008418_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025517_10	3300025517_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029204_23	3300029204_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011692_1	3300011692_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029370_5	3300029370_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020153_23	3300020153_23	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012004_1	3300012004_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028277_12	3300028277_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012889_34	3300012889_34	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029760_15	3300029760_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300023174_57	3300023174_57	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008125_24	3300008125_24	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025243_6	3300025243_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026776_2	3300026776_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300021091_54	3300021091_54	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012144_11	3300012144_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027706_51	3300027706_51	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008716_22	3300008716_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029465_10	3300029465_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300024928_1	3300024928_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010280_18	3300010280_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027111_9	3300027111_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025226_9	3300025226_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026228_2	3300026228_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011650_2	3300011650_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010270_18	3300010270_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029860_32	3300029860_32	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007924_25	3300007924_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007669_18	3300007669_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300003272_3	3300003272_3	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029777_19	3300029777_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029483_12	3300029483_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029750_5	3300029750_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029668_9	3300029668_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025577_9	3300025577_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029718_27	3300029718_27	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300005337_7	3300005337_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025347_12	3300025347_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029517_16	3300029517_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029763_14	3300029763_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020220_97	3300020220_97	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029379_33	3300029379_33	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029888_14	3300029888_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029186_9	3300029186_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300013656_2	3300013656_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007079_3	3300007079_3	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028603_99	3300028603_99	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008081_25	3300008081_25	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029577_15	3300029577_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011390_5	3300011390_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025300_9	3300025300_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300022855_4	3300022855_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025706_5	3300025706_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008728_18	3300008728_18	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014541_5	3300014541_5	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025082_8	3300025082_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029609_17	3300029609_17	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007501_14	3300007501_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027719_22	3300027719_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012089_4	3300012089_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011458_1	3300011458_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029765_16	3300029765_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017470_17	3300017470_17	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007222_15	3300007222_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300003155_8	3300003155_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025603_19	3300025603_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011717_2	3300011717_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025260_1	3300025260_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029098_12	3300029098_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029765_12	3300029765_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029586_14	3300029586_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029297_9	3300029297_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300017553_9	3300017553_9	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020388_27	3300020388_27	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007805_16	3300007805_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300011588_1	3300011588_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029392_16	3300029392_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300006296_1	3300006296_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027283_7	3300027283_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025295_16	3300025295_16	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027007_8	3300027007_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029333_22	3300029333_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027206_2	3300027206_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300015168_2	3300015168_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300020388_22	3300020388_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007125_11	3300007125_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029661_10	3300029661_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300026288_2	3300026288_2	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029710_14	3300029710_14	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029719_24	3300029719_24	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007531_27	3300007531_27	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029714_12	3300029714_12	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
2061766007_124	2061766007_124	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300014647_3	3300014647_3	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300018920_6	3300018920_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300007996_15	3300007996_15	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025728_11	3300025728_11	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300025851_22	3300025851_22	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028593_87	3300028593_87	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300003282_6	3300003282_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300028631_8	3300028631_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300010285_20	3300010285_20	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029428_6	3300029428_6	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029594_30	3300029594_30	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029857_19	3300029857_19	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300027662_13	3300027662_13	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300029761_7	3300029761_7	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008520_4	3300008520_4	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300006979_1	3300006979_1	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300012839_8	3300012839_8	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
3300008096_10	3300008096_10	Bacteria	Unknown		unsupervised	IMG/JGI	Restricted	Requires institutional IMG/JGI access
